artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,85,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz,89,2jku7tDXc6XoB6MO2hFuqg,80,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6253762
Kelly Clarkson,"Santa, Can’t You Hear Me",2O3MQ6H3gjrIWDcpeTrikT,87,3BmGtnKgCSGYIUhmivXKWX,81,"['dance pop', 'pop', 'talent show']",10295637
Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,84,5SXuuuRpukkTvsLuUknva1,77,"['hip hop', 'rap']",1939858
PinkPantheress,Pain,4S4QJfBGGrC8jRIjJHf1Ka,84,78rUTD7y6Cy67W1RVzYs7t,76,['bedroom pop'],2768239
Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,82,77kULmXAQ6vWer7IIHdGzI,71,"['contemporary country', 'country road']",1106397
Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,85,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,87,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,82,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
ame,raining for hours,3L1JHXiqNOJ57w3n2R3HyU,85,7htQnykNfk2Bu39bSw7owz,63,[],1580
Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,82,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,86,1gl0S9pS0Zw0qfa14rDD3D,67,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",1031657
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,88,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
Peso Pluma,Por las Noches,2VzCjpKvPB1l1tqLndtAQa,85,12GqGscKJx3aE4t07u7eVZ,90,"['corridos tumbados', 'sad sierreno']",10051151
Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,87,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
