,id,name
0,4xhsWYTOGcal8zt0J161CU,Lovin On Me
1,45KMdPDdZTxcXW3lw10R70,Bug Like an Angel
2,06m6Q2ZUHNsHGEHK9m8hLf,Buffalo Replaced
3,5T00EN4oZmDQx3hqVAC4Fx,Heaven
4,1l0BBsLElenQWul8Fn8tT1,I Don't Like My Mind
5,0CNJcM33kvWE8v26wBy9wB,The Deal
6,0QzJS1fQv5l0s1mqKTECRX,When Memories Snow
7,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine
8,41nIJErYY9goKvnCyG7ov6,The Frost
9,5ijSUALHfNot7KSafyLI4E,Star
10,6YO2dalWyZSobXSY3UUPv9,I'm Your Man
11,55Y5p2XyPaYBPGtzj1f9fE,I Love Me After You
12,44IXD2J5yyr7PpOZzz2cmQ,Fear and Friday's (Poem)
13,5pIVEk6Di7n1v5khOzJaJL,Overtime
14,7eOuUmpnHBlg5zsm8Cs7c3,Summertime's Close
15,00syWkRGIVQvYsg2OwfBUw,East Side of Sorrow
16,4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty)
17,0GMiRrUnQuoGddKMsxGPIZ,Fear and Friday's
18,1HwDRgozGBMyfJTQUfz09A,Ticking
19,3itgPtXSu4I9mr2QD6yrzP,Holy Roller (feat. Sierra Ferrell)
20,2pUYbyOIOSfDfsnCR3KceZ,Jake's Piano - Long Island
21,7C1BLYzAvR0KdBpov3GpUZ,El Dorado
22,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves)
23,3EvZ03hGAFwGZ2Ebcu86YH,Tourniquet
24,0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers)
25,6Otmq7JokHh38wKSqUimcS,Tradesman
26,67aaFVnfvFWjxVQMd0jDb5,Smaller Acts
27,4ueTr01dkL360w1knfh21C,Oklahoman Son
28,3rUGC1vUpkDG9CZFHMur1t,greedy
29,3eP13S8D5m2cweMEg3ZDed,Virginia Beach
30,0Mrnt1YqVuW2bqmwu4VxDt,Amen (feat. Teezo Touchdown)
31,2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage)
32,53KaP77tkliz36LPxWGlWK,Fear Of Heights
33,4ZT0wGKwlJRjpMUuwZVy3p,Daylight
34,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole)
35,2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat)
36,1GpWY5RiInhezB8wGWs6oN,7969 Santa
37,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA)
38,3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises
39,3IHt4j5uAEl7iBu8Utn985,Tried Our Best
40,0ArVfVP8B5svkfj8clHNzB,Screw The World - Interlude
41,03rwnftfgpYVO6QDWOZcG6,Drew A Picasso
42,24FUBxaAYSBlWsbSnEzDcn,Members Only (feat. PARTYNEXTDOOR)
43,1DAibqbopEYULPEtE8WHTE,What Would Pluto Do
44,1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef)
45,0w3Mfe4PIVjuFjJbe3OlYv,8am in Charlotte
46,1mjAD7IYvI5UGiB7WnppMf,BBL Love - Interlude
47,6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny)
48,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA)
49,17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty)
50,4IcbUXrAzBtn6iUO1LP471,Away From Home
51,3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites
52,1h0rVgfuKa6V9DkVSLAc4Q,back at it
53,3OGCNLxpBmTYRxPZg2yDE5,back to the moon
54,7MLGkncjEGTfKHpNa5UgCQ,idk nomore
55,5XpwulllkqoHEk0jpwvRlJ,paybach
56,48rsYvIQXUAtxcmIoStOaM,ca$h $hit
57,4rXLjWdF2ZZpXCVTfWcshS,fukumean
58,2rjv9fXzpZDbB6lEeIoB3l,rodeo dr
59,6WKh2qSTswuv8QG60Wu29F,bottom
60,2k2Z7yadTBdOM8oObjzslj,p angels
61,3NNgZSXHElKHPpkCxsP8WB,born rich
62,6YD8EpsddOfEwAhaymGu0Q,go crazy
63,7IqsNN0EMckx9YqddgXlwg,bread & butter
64,7Aq3pnhSzI8FnHt7T6TPsX,turned your back
65,5QG0l8nybp5rLMo7saQHl2,i was just thinking
66,4zivXJkUD87842VhywHGFn,alright
67,1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version)
68,45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version)
69,1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version)
70,045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version)
71,6GXgd1BPD9bUpqw5AntGV5,All You Had To Do Was Stay (Taylor's Version)
72,3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version)
73,43y1WpBdnEy5TR9aZoSQL9,I Wish You Would (Taylor's Version)
74,64FzgoLZ3oXu2SriZblHic,Bad Blood (Taylor's Version)
75,1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version)
76,75W3SngKzTuoQ94uLf3y82,How You Get The Girl (Taylor's Version)
77,5QVVjX0ZItqlVpEuVCM9Yg,This Love (Taylor’s Version)
78,2f0GI2ZLUtbGqFx8t2Gk6A,I Know Places (Taylor's Version)
79,2ByBBvpR9b7IynvRmnG7kG,Clean (Taylor's Version)
80,2ve0kuaWUCt4Zx8x4bf1MR,Wonderland (Taylor's Version)
81,4UwqOWDpdeIDVQDuKT6iza,You Are In Love (Taylor's Version)
82,2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version)
83,71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)"
84,4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault)
85,5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault)
86,6T0sEnqjmHISIKwFETeeiP,Suburban Legends (Taylor's Version) (From The Vault)
87,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault)
88,3eP13S8D5m2cweMEg3ZDed,Virginia Beach
89,0Mrnt1YqVuW2bqmwu4VxDt,Amen (feat. Teezo Touchdown)
90,2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage)
91,53KaP77tkliz36LPxWGlWK,Fear Of Heights
92,4ZT0wGKwlJRjpMUuwZVy3p,Daylight
93,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole)
94,2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat)
95,1GpWY5RiInhezB8wGWs6oN,7969 Santa
96,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA)
97,3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises
98,3IHt4j5uAEl7iBu8Utn985,Tried Our Best
99,0ArVfVP8B5svkfj8clHNzB,Screw The World - Interlude
100,03rwnftfgpYVO6QDWOZcG6,Drew A Picasso
101,24FUBxaAYSBlWsbSnEzDcn,Members Only (feat. PARTYNEXTDOOR)
102,1DAibqbopEYULPEtE8WHTE,What Would Pluto Do
103,1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef)
104,0w3Mfe4PIVjuFjJbe3OlYv,8am in Charlotte
105,1mjAD7IYvI5UGiB7WnppMf,BBL Love - Interlude
106,6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny)
107,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA)
