Artist,Artist_ID,Genre,Follower,Singer_image
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'urban contemporary']",9617055,https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce
Wham!,5lpH0xAS4fVfLkACg9DAuM,"['new romantic', 'new wave pop', 'soft rock']",2571441,https://i.scdn.co/image/ab6761610000e5eb03e73d13341a8419eea9fcfb
Brenda Lee,4cPHsZM98sKzmV26wlwD2W,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",357828,https://i.scdn.co/image/ab6761610000e5eb4ea49bdca366a3baa5cbb006
Tate McRae,45dkTj5sMRSjrmBSBeiHym,"['alt z', 'pop']",4326871,https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6
Bobby Helms,38EmEgXkgK51MT2tPY0EoC,[],40602,https://i.scdn.co/image/ab6761610000e5ebbec4ae689dc30a2b59a19038
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],96189897,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Mitski,2uYWxilOVlUdk4oV9DvwqK,"['brooklyn indie', 'pov: indie']",6174069,https://i.scdn.co/image/ab6761610000e5eb4bdb3888818637acb71c4a13
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],95804344,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3249554,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb
Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",6102333,https://i.scdn.co/image/ab6761610000e5ebef8cf61fea4923d2bde68200
Andy Williams,4sj6D0zlMOl25nprDJBiU9,"['adult standards', 'easy listening']",520921,https://i.scdn.co/image/ab6761610000e5eb5888acdca5e748e796b4e69b
