0
Mariah Carey
Wham!
Brenda Lee
Tate McRae
Bobby Helms
Taylor Swift
Mitski
Ariana Grande
Jack Harlow
Michael Bublé
Andy Williams
Dean Martin
Jung Kook
Taylor Swift
Sia
iñigo quintero
Doja Cat
Jung Kook
Bad Bunny
Kelly Clarkson
KAROL G
Michael Bublé
Kenya Grace
Arctic Monkeys
José Feliciano
Fuerza Regida
Calle 24
The Weeknd
Tyla
SZA
Bad Bunny
Justin Bieber
Doja Cat
The Ronettes
Noah Kahan
Maluma
Olivia Rodrigo
The Weeknd
David Kushner
Harry Styles
Taylor Swift
Myke Towers
Shakin' Stevens
Dua Lipa
Conan Gray
Lord Huron
Miley Cyrus
Jung Kook
Peso Pluma
Manan Bhardwaj
