Artist,Artist_ID,Genre,Follower,Singer_image
Dream Supplier,6Cqtx9fpxzggIMuKn0RGCp,[],2205,https://i.scdn.co/image/ab6761610000e5ebb6f0bf7ad35d39d2491c8d52
Hotel Ugly,35WVTyRnKAoaGExqgktVyb,['modern indie pop'],486553,https://i.scdn.co/image/ab6761610000e5eb939033cc36c08ab68b33f760
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,"['r&b', 'rap']",5129704,https://i.scdn.co/image/ab6761610000e5ebe187dca750abfd3688836309
21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'hip hop', 'rap']",15971876,https://i.scdn.co/image/ab6761610000e5eb35ca7d2181258b51c0f2cf9e
Steve Lacy,57vWImR43h4CaDao012Ofp,['afrofuturism'],4006091,https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],96365348,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,"['contemporary country', 'outlaw country']",6443962,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"['classic oklahoma country', 'modern country pop']",2798716,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']",8915449,https://i.scdn.co/image/ab6761610000e5ebc1c8fa15e08cb31eeb03b771
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",79948886,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",3968169,https://i.scdn.co/image/ab6761610000e5eb66b27eccb69756f8eceabc23
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",76225330,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",9460540,https://i.scdn.co/image/ab6761610000e5eb504ff11d788162fbf8078654
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",6475236,https://i.scdn.co/image/ab6761610000e5eb9ba0b850b7288dd4a39745c0
Polo G,6AgTAQt8XS6jRWi4sX7w49,"['chicago rap', 'rap']",10543391,https://i.scdn.co/image/ab6761610000e5ebbedf3bdf589da06d1567196c
Eyedress,3XxNRirzbjfLdDli06zMaB,"['noise pop', 'pov: indie']",1597007,https://i.scdn.co/image/ab6761610000e5eb6c2dbbc3a785b6c049f9eef1
King Von,6QtgPSJPSzcnn7dPZ4VINp,['chicago rap'],3670884,https://i.scdn.co/image/ab6761610000e5eb5c0b2129a88c7d6ed0704556
Diplo,5fMUXHkw8R8eOP2RNVYEZX,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",2594522,https://i.scdn.co/image/ab6761610000e5ebdf01727aa674ddefa777797a
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,['colombian pop'],5897110,https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']",47565134,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",13502294,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada
Ken Carson,3gBZUcNeVumkeeJ19CY2sX,['rage rap'],945717,https://i.scdn.co/image/ab6761610000e5eb95ccca370d8bd50e84c222bc
